abejoti 6 ab-ej-o-ti abejoti; vksm. bendr.
adaptuoti 2 adapt-uo-ti adaptuoti; vksm. bendr.
adaptuotis 1 adapt-uo-ti-s adaptuotis; vksm. bendr. sngr.
administruoti 1 administr-uo-ti administruoti; vksm. bendr.
agreguoti 1 agreg-uo-ti agreguoti; vksm. bendr.
aiškėti 1 aišk-ė-ti aiškėti; vksm. bendr.
aiškint 1 aišk-in-t aiškinti; vksm. bendr.
aiškinti 13 aišk-in-ti aiškinti; vksm. bendr.
aiškintis 2 aišk-in-ti-s aiškintis; vksm. bendr. sngr.
akcentuoti 1 akcent-uo-ti akcentuoti; vksm. bendr.
akėti 1 ak-ė-ti akėti; vksm. bendr.
aklimatizuotis 1 aklimat-iz-uo-ti-s aklimatizuotis; vksm. bendr. sngr.
aktyvinti 2 aktyv-in-ti aktyvinti; vksm. bendr.
akumuliuoti 1 akumul-iuo-ti akumuliuoti; vksm. bendr.
alsuoti 1 als-uo-ti alsuoti; vksm. bendr.
amputuot 1 amput-uo-t amputuoti; vksm. bendr.
analizuoti 16 analiz-uo-ti analizuoti; vksm. bendr.
apčiuopti 1 ap-čiuop-ti apčiuopti; vksm. bendr.
apčiupinėt 1 ap-čiup-inė-t apčiupinėti; vksm. bendr.
apdoroti 9 ap-dor-o-ti apdoroti; vksm. bendr.
apdovanoti 3 ap-dov-an-o-ti apdovanoti; vksm. bendr.
apeiti 5 ap-ei-ti apeiti; vksm. bendr.
apgalvoti 2 ap-galv-o-ti apgalvoti; vksm. bendr.
apgauti 2 ap-gau-ti apgauti; vksm. bendr.
apginti 11 ap-gin-ti apginti; vksm. bendr.
apginti 1 ap-gin-ti apginti; vksm. bendr.
apgyvendinti 1 ap-gy-v-en-din-ti apgyvendinti; vksm. bendr.
apgraužti 1 ap-grauž-ti apgraužti; vksm. bendr.
apibėgti 1 api-bėg-ti apibėgti; vksm. bendr.
apibendrinti 1 api-bendr-in-ti apibendrinti; vksm. bendr.
apibrėžti 7 api-brėž-ti apibrėžti; vksm. bendr.
apibūdinti 7 api-bū-d-in-ti apibūdinti; vksm. bendr.
apimti 1 ap-im-ti apimti; vksm. bendr.
apiplauti 1 api-plau-ti apiplauti; vksm. bendr.
apiplėšinėti 1 api-plėš-inė-ti apiplėšinėti; vksm. bendr.
apiplėšti 1 api-plėš-ti apiplėšti; vksm. bendr.
apipraust 1 api-praus-t apiprausti; vksm. bendr.
apjuosti 1 ap-juos-ti apjuosti; vksm. bendr.
apkabinti 4 ap-kab-in-ti apkabinti; vksm. bendr.
apkaltint 2 ap-kalt-in-t apkaltinti; vksm. bendr.
6
apkaltinti 4 ap-kalt-in-ti apkaltinti; vksm. bendr.
apkarpyti 1 ap-karp-y-ti apkarpyti; vksm. bendr.
apkaustyti 1 ap-kau-st-y-ti apkaustyti; vksm. bendr.
apkeliauti 1 ap-kel-iau-ti apkeliauti; vksm. bendr.
apklausti 1 ap-klaus-ti apklausti; vksm. bendr.
aplaižyti 1 ap-laiž-y-ti aplaižyti; vksm. bendr.
aplankyt 1 ap-lank-y-t aplankyti; vksm. bendr.
aplankyti 5 ap-lank-y-ti aplankyti; vksm. bendr.
aplėkti 1 ap-lėk-ti aplėkti; vksm. bendr.
aplenkt 1 ap-lenk-t aplenkti; vksm. bendr.
aplenkti 6 ap-lenk-ti aplenkti; vksm. bendr.
aplydyti 1 ap-ly-dy-ti aplydyti; vksm. bendr.
apluošinti 1 ap-luoš-in-ti apluošinti; vksm. bendr.
apmąstyti 3 ap-mąst-y-ti apmąstyti; vksm. bendr.
apmauti 2 ap-mau-ti apmauti; vksm. bendr.
apmokėti 4 ap-mok-ė-ti apmokėti; vksm. bendr.
apmokyti 8 ap-mok-y-ti apmokyti; vksm. bendr.
apraminti 1 ap-ram-in-ti apraminti; vksm. bendr.
aprašinėti 1 ap-raš-inė-ti aprašinėti; vksm. bendr.
aprašyti 15 ap-raš-y-ti aprašyti; vksm. bendr.
apreikšti 1 ap-reikš-ti apreikšti; vksm. bendr.
aprengti 1 ap-reng-ti aprengti; vksm. bendr.
aprėpti 2 ap-rėp-ti aprėpti; vksm. bendr.
apriboti 3 ap-rib-o-ti apriboti; vksm. bendr.
aprobuoti 2 aprob-uo-ti aprobuoti; vksm. bendr.
aprūpinti 2 ap-rūp-in-ti aprūpinti; vksm. bendr.
apsamanoti 1 ap-saman-o-ti apsamanoti; vksm. bendr.
apsaugoti 41 ap-saug-o-ti apsaugoti; vksm. bendr.
apsėti 1 ap-sė-ti apsėti; vksm. bendr.
apsieiti 4 ap-si-ei-ti apsieiti; vksm. bendr. sngr.
apsigalvot 1 ap-si-galv-o-t apsigalvoti; vksm. bendr. sngr.
apsigauti 1 ap-si-gau-ti apsigauti; vksm. bendr. sngr.
apsiginti 2 ap-si-gin-ti apsiginti; vksm. bendr. sngr.
apsigyventi 5 ap-si-gy-v-en-ti apsigyventi; vksm. bendr. sngr.
apsikeisti 3 ap-si-keis-ti apsikeisti; vksm. bendr. sngr.
apsikrauti 1 ap-si-krau-ti apsikrauti; vksm. bendr. sngr.
apsikrikštyti 3 ap-si-krikšt-y-ti apsikrikštyti; vksm. bendr. sngr.
apsikuopti 1 ap-si-kuop-ti apsikuopti; vksm. bendr. sngr.
apsilankyti 3 ap-si-lank-y-ti apsilankyti; vksm. bendr. sngr.
apsimauti 1 ap-si-mau-ti apsimauti; vksm. bendr. sngr.
apsimest 6 ap-si-mes-t apsimesti; vksm. bendr. sngr.
apsimesti 2 ap-si-mes-ti apsimesti; vksm. bendr. sngr.
7
apsipirkt 1 ap-si-pirk-t apsipirkti; vksm. bendr. sngr.
apsipirkti 2 ap-si-pirk-ti apsipirkti; vksm. bendr. sngr.
apsireikšti 2 ap-si-reikš-ti apsireikšti; vksm. bendr. sngr.
apsirengt 1 ap-si-reng-t apsirengti; vksm. bendr. sngr.
apsirengti 3 ap-si-reng-ti apsirengti; vksm. bendr. sngr.
apsiriboti 1 ap-si-rib-o-ti apsiriboti; vksm. bendr. sngr.
apsirikti 1 ap-si-rik-ti apsirikti; vksm. bendr. sngr.
apsirūpinti 4 ap-si-rūp-in-ti apsirūpinti; vksm. bendr. sngr.
apsisaugoti 2 ap-si-saug-o-ti apsisaugoti; vksm. bendr. sngr.
